state,guns per capita,guns registered,Rank
Wyoming,229.24,"132,806",1
Washington D.C.,68.05,"47,228",2
New Hampshire,46.76,"64,135",3
New Mexico,46.73,"97,580",4
Virginia,36.34,"307,822",5
Alabama,33.15,"161,641",6
Idaho,28.86,"49,566",7
Arkansas,26.57,"79,841",8
Nevada,25.64,"76,888",9
Arizona,25.61,"179,738",10
Louisiana,24.94,"116,831",11
South Dakota,24.29,"21,130",12
Utah,23.48,"72,856",13
Connecticut,22.96,"82,400",14
Alaska,21.38,"15,824",15
Montana,21.06,"22,133",16
South Carolina,21.01,"105,601",17
Texas,20.79,"588,696",18
West Virginia,19.42,"35,264",19
Pennsylvania,18.45,"236,377",20
Georgia,18.22,"190,050",21
Kentucky,18.2,"81,068",22
Oklahoma,18.13,"71,269",23
Kansas,18.06,"52,634",24
North Dakota,17.56,"13,272",25
Indiana,17.1,"114,019",26
Maryland,17.03,"103,109",27
Colorado,16.48,"92,435",28
Florida,16.35,"343,288",29
Ohio,14.87,"173,405",30
North Carolina,14.818,"152,238",31
Oregon,14.816,"61,383",32
Tennessee,14.76,"99,159",33
Minnesota,14.22,"79,307",34
Washington,12.4,"91,835",35
Missouri,11.94,"72,996",36
Mississippi,11.89,"35,494",37
Nebraska,11.57,"22,234",38
Maine,11.5,"15,371",39
Illinois,11.44,"146,487",40
Wisconsin,11.19,"64,878",41
Vermont,9.41,"5,872",42
Iowa,9.05,"28,494",43
California,8.71,"344,622",44
Michigan,6.59,"65,742",45
New Jersey,6.38,"57,507",46
Hawaii,5.5,"7,859",47
Massachusetts,5.41,"37,152",48
Delaware,5.04,"4,852",49
Rhode Island,3.98,"37,152",50
New York,3.83,"76,207",51